file,left,top,right,bottom
A01_opt_1.png,310,704,561,916
A01_opt_2.png,709,705,1030,919
A01_opt_3.png,1140,770,1327,915
A01_opt_4.png,314,929,624,1134
A01_opt_5.png,828,941,1027,1129
A01_opt_6.png,1133,926,1380,1139
A02_opt_1.png,309,2023,628,2236
A02_opt_2.png,711,2025,1030,2239
A02_opt_3.png,1137,2026,1455,2239
A02_opt_4.png,309,2242,627,2457
A02_opt_5.png,710,2246,1038,2472
A02_opt_6.png,1134,2245,1454,2460
A03_opt_1.png,311,706,640,932
A03_opt_2.png,709,705,1030,919
A03_opt_3.png,1265,709,1459,914
A03_opt_4.png,308,923,627,1137
A03_opt_5.png,709,924,1027,1138
A03_opt_6.png,1133,925,1455,1139
A04_opt_1.png,309,2023,627,2236
A04_opt_2.png,710,2024,1030,2238
A04_opt_3.png,1136,2024,1455,2237
A04_opt_4.png,309,2242,627,2457
A04_opt_5.png,713,2246,1038,2472
A04_opt_6.png,1132,2244,1468,2472
A05_opt_1.png,309,702,628,915
A05_opt_2.png,723,786,1038,931
A05_opt_3.png,1135,702,1455,916
A05_opt_4.png,308,922,627,1136
A05_opt_5.png,708,922,1027,1136
A05_opt_6.png,1133,922,1455,1136
A06_opt_1.png,317,2022,640,2250
A06_opt_2.png,711,2065,1038,2250
A06_opt_3.png,1138,2090,1467,2250
A06_opt_4.png,307,2243,641,2472
A06_opt_5.png,830,2258,1027,2443
A06_opt_6.png,1150,2249,1467,2472
A07_opt_1.png,324,704,640,930
A07_opt_2.png,711,775,1040,932
A07_opt_3.png,1257,715,1455,903
A07_opt_4.png,310,921,639,1151
A07_opt_5.png,711,924,1039,1152
A07_opt_6.png,1136,925,1468,1153
A08_opt_1.png,450,2023,628,2135
A08_opt_2.png,709,2022,1039,2250
A08_opt_3.png,1250,2125,1455,2237
A08_opt_4.png,324,2244,641,2472
A08_opt_5.png,708,2244,1040,2472
A08_opt_6.png,1133,2241,1467,2472
A09_opt_1.png,310,706,639,933
A09_opt_2.png,710,706,1038,933
A09_opt_3.png,1175,710,1383,914
A09_opt_4.png,310,982,639,1153
A09_opt_5.png,712,926,1038,1154
A09_opt_6.png,1135,958,1468,1154
